frame.number,frame.time_epoch,tcp.analysis.ack_rtt,ip.src,ip.dst
"2529","1757509759.963432000","0.000019000","196.42.104.243","196.24.45.81"
"2531","1757509759.963487000","0.000013000","196.42.104.243","196.24.45.81"
"2533","1757509759.969526000","0.014912000","196.24.45.75","196.42.104.243"
"2535","1757509759.969785000","0.000080000","196.42.104.243","196.24.45.81"
"2537","1757509759.969880000","0.000018000","196.42.104.243","196.24.45.81"
"2541","1757509759.974997000","0.000099000","196.42.104.243","196.24.45.75"
"2542","1757509759.975074000","0.000091000","196.42.104.243","196.24.45.81"
"2544","1757509759.978421000","0.001211000","196.24.45.75","196.42.104.243"
"2546","1757509760.022027000","0.041084000","196.42.104.243","196.24.45.75"
"2555","1757509760.403740000","0.064300000","52.108.54.3","196.42.104.243"
