frame.time_epoch,tcp.analysis.ack_rtt,ip.src,ip.dst
"1757710206.331251689","0.000315102","196.42.104.243","87.248.114.12"
"1757710206.332624524","0.000251908","196.42.104.243","87.248.114.12"
"1757710206.488813986","0.151888589","87.248.114.12","196.42.104.243"
"1757710206.488994981","0.000180577","196.42.104.243","87.248.114.12"
"1757710206.490916064","0.000225925","196.42.104.243","87.248.114.12"
"1757710206.684384462","0.152115196","87.248.114.12","196.42.104.243"
"1757710206.684921654","0.000536868","196.42.104.243","87.248.114.12"
"1757710206.688236561","0.000036257","196.42.104.243","87.248.114.12"
"1757710206.688293483","0.000092990","196.42.104.243","87.248.114.12"
"1757710206.693972927","0.000021665","196.42.104.243","87.248.114.12"
"1757710206.694076341","0.000013954","196.42.104.243","87.248.114.12"
"1757710206.714144357","0.150152747","87.248.114.12","196.42.104.243"
"1757710206.718221842","0.000047284","196.42.104.243","87.248.114.12"
"1757710206.718369979","0.000195281","196.42.104.243","87.248.114.12"
"1757710206.719556976","0.000041270","196.42.104.243","87.248.114.12"
"1757710206.721468316","0.149914023","87.248.114.12","196.42.104.243"
"1757710206.728219890","0.150070845","87.248.114.12","196.42.104.243"
"1757710206.752295109","0.149411245","87.248.114.12","196.42.104.243"
"1757710206.838160784","0.000201697","196.42.104.243","87.248.114.12"
"1757710206.839512535","0.000081172","196.42.104.243","87.248.114.12"
"1757710206.843684832","0.000040853","196.42.104.243","87.248.114.12"
"1757710206.847082451","0.000105878","196.42.104.243","87.248.114.12"
"1757710206.852986385","0.000182261","196.42.104.243","87.248.114.12"
"1757710206.858773425","0.000043921","196.42.104.243","87.248.114.12"
"1757710206.858937623","0.000109027","196.42.104.243","87.248.114.12"
"1757710206.862247570","0.000063981","196.42.104.243","87.248.114.12"
"1757710206.862356995","0.000173195","196.42.104.243","87.248.114.12"
"1757710206.869385112","0.000040396","196.42.104.243","87.248.114.12"
"1757710206.870922847","0.000043753","196.42.104.243","87.248.114.12"
"1757710206.871015460","0.000136009","196.42.104.243","87.248.114.12"
"1757710206.875182815","0.000194334","196.42.104.243","87.248.114.12"
"1757710206.912427448","0.150006087","87.248.114.12","196.42.104.243"
"1757710206.912466864","0.149805137","87.248.114.12","196.42.104.243"
"1757710206.912474908","0.000047460","196.42.104.243","87.248.114.12"
"1757710206.913664053","0.150312828","87.248.114.11","196.42.104.243"
"1757710206.913679956","0.000015903","196.42.104.243","87.248.114.11"
"1757710206.914107613","0.001176562","87.248.114.12","196.42.104.243"
"1757710206.915270576","0.001224278","87.248.114.11","196.42.104.243"
"1757710206.961944122","0.198829623","87.248.114.12","196.42.104.243"
"1757710206.989392644","0.000040871","196.42.104.243","87.248.114.12"
"1757710206.992625559","0.000034558","196.42.104.243","87.248.114.12"
"1757710206.992731497","0.000140283","196.42.104.243","87.248.114.12"
"1757710206.994568821","0.000026892","196.42.104.243","87.248.114.12"
"1757710207.002641557","0.000032491","196.42.104.243","87.248.114.12"
"1757710207.006112104","0.000226056","196.42.104.243","87.248.114.12"
"1757710207.022892162","0.000096509","196.42.104.243","87.248.114.12"
"1757710207.023809649","0.000084151","196.42.104.243","87.248.114.12"
"1757710207.033066485","0.000047892","196.42.104.243","87.248.114.12"
"1757710207.033263684","0.000244656","196.42.104.243","87.248.114.12"
"1757710207.035675761","0.000030616","196.42.104.243","87.248.114.12"
"1757710207.035747488","0.000032718","196.42.104.243","87.248.114.12"
"1757710207.042935656","0.000039154","196.42.104.243","87.248.114.12"
"1757710207.045408705","0.000043097","196.42.104.243","87.248.114.12"
"1757710207.045471428","0.000105571","196.42.104.243","87.248.114.12"
"1757710207.049798656","0.000048244","196.42.104.243","87.248.114.12"
"1757710207.049914732","0.000164015","196.42.104.243","87.248.114.12"
"1757710207.053585090","0.000047198","196.42.104.243","87.248.114.12"
"1757710207.053908657","0.000370383","196.42.104.243","87.248.114.12"
