StartTime,LastTime,SrcAddr,DstAddr,Sport,Dport,Proto,TcpRtt
22:50:48.129975,22:50:48.736872,196.42.104.243,87.248.114.11,33770,443,tcp,0.149897
22:50:48.573674,22:50:49.099573,196.42.104.243,87.248.114.12,34394,443,tcp,0.150227
22:50:48.574291,22:50:49.249366,196.42.104.243,87.248.114.12,34408,443,tcp,0.149955
22:50:48.943169,22:50:49.631403,196.42.104.243,87.248.114.11,33774,443,tcp,0.185446
22:50:49.615987,22:50:50.493553,196.42.104.243,87.248.114.12,34424,443,tcp,0.165943
22:50:50.918969,22:50:51.640157,196.42.104.243,87.248.114.12,34434,443,tcp,0.26223
22:50:52.292123,22:50:53.731015,196.42.104.243,87.248.114.12,34448,443,tcp,0.155827
22:50:52.292544,22:50:57.184096,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:50:52.442502,22:50:54.057319,196.42.104.243,87.248.114.12,34458,443,tcp,0.142507
22:50:52.443472,22:50:53.916531,196.42.104.243,87.248.114.12,34460,443,tcp,0.149748
22:50:52.589184,22:50:52.955686,196.42.104.243,87.248.114.12,34468,443,tcp,0.197266
22:50:52.710725,22:50:53.334932,196.42.104.243,87.248.114.12,34470,443,tcp,0.15306
22:50:52.810689,22:50:55.900760,196.42.104.243,87.248.114.12,56422,443,tcp,0.149812
22:50:52.929285,22:50:53.396184,196.42.104.243,87.248.114.11,33776,443,tcp,0.155382
22:50:52.929367,22:50:53.545900,196.42.104.243,87.248.114.11,33790,443,tcp,0.155288
22:50:52.929427,22:50:53.545378,196.42.104.243,87.248.114.11,33792,443,tcp,0.155213
22:50:52.929487,22:50:53.390503,196.42.104.243,87.248.114.11,33802,443,tcp,0.15519
22:50:54.966035,22:50:55.579079,196.42.104.243,87.248.114.12,49496,443,tcp,0.149754
22:50:55.503128,22:50:56.108830,196.42.104.243,87.248.114.11,35422,443,tcp,0.150199
22:50:55.503799,22:50:55.963754,196.42.104.243,87.248.114.11,35430,443,tcp,0.14978
22:50:55.505440,22:50:55.970642,196.42.104.243,87.248.114.12,49498,443,tcp,0.150197
22:50:55.505986,22:50:55.973329,196.42.104.243,87.248.114.12,49512,443,tcp,0.150486
22:50:55.910910,22:50:56.515354,196.42.104.243,87.248.114.12,49520,443,tcp,0.149746
22:50:55.911545,22:50:56.518969,196.42.104.243,87.248.114.12,49524,443,tcp,0.149681
22:50:57.358283,22:51:00.007227,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:51:03.386483,22:51:07.329609,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:51:08.730627,22:51:08.881151,196.42.104.243,87.248.114.11,60548,443,tcp,0.150752
22:51:10.141067,22:51:14.157469,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:51:32.181609,22:51:32.361411,196.42.104.243,87.248.114.12,56436,443,tcp,0.149721
22:51:40.255928,22:51:40.405973,196.42.104.243,87.248.114.11,43390,443,tcp,0.149965
22:51:43.261100,22:51:43.411382,196.42.104.243,87.248.114.12,37630,443,tcp,0.155213
22:51:45.274834,22:51:45.425244,196.42.104.243,87.248.114.11,48600,443,tcp,0.149562
22:51:46.297268,22:51:46.488266,196.42.104.243,87.248.114.11,44104,443,tcp,0.149859
22:51:54.343944,22:51:54.534226,196.42.104.243,87.248.114.12,56422,443,tcp,0.149812
22:52:12.257414,22:52:12.408759,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:52:31.318844,22:52:31.470168,196.42.104.243,87.248.114.12,56436,443,tcp,0.149721
22:52:38.553617,22:52:38.703579,196.42.104.243,87.248.114.11,48600,443,tcp,0.149562
22:52:39.354096,22:52:39.503883,196.42.104.243,87.248.114.11,43390,443,tcp,0.149965
22:52:42.359214,22:52:42.510400,196.42.104.243,87.248.114.12,37630,443,tcp,0.155213
22:52:45.372154,22:52:45.523278,196.42.104.243,87.248.114.11,44104,443,tcp,0.149859
22:52:53.402937,22:52:53.567951,196.42.104.243,87.248.114.12,56422,443,tcp,0.149812
22:53:11.139535,22:53:11.289678,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:53:23.810186,22:53:23.969987,196.42.104.243,87.248.114.12,56436,443,tcp,0.149721
22:53:32.868182,22:53:33.077025,196.42.104.243,87.248.114.11,43390,443,tcp,0.149965
22:53:34.868863,22:53:35.044448,196.42.104.243,87.248.114.12,37630,443,tcp,0.155213
22:53:37.902218,22:53:38.079456,196.42.104.243,87.248.114.11,44104,443,tcp,0.149859
22:53:45.934583,22:53:46.084717,196.42.104.243,87.248.114.12,56422,443,tcp,0.149812
22:54:05.039838,22:54:05.191748,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:55:40.572323,22:55:42.759226,196.42.104.243,87.248.114.12,50578,443,tcp,0.154535
22:56:41.352706,22:56:41.513240,196.42.104.243,87.248.114.12,50578,443,tcp,0.154535
22:57:40.353424,22:57:40.599185,196.42.104.243,87.248.114.12,50578,443,tcp,0.154535
22:58:33.190464,22:58:33.349374,196.42.104.243,87.248.114.12,50578,443,tcp,0.154535
23:00:40.527124,23:00:42.914270,196.42.104.243,87.248.114.12,56374,443,tcp,0.150045
23:01:41.719538,23:01:41.925577,196.42.104.243,87.248.114.12,56374,443,tcp,0.150045
23:02:09.133009,23:02:09.283103,196.42.104.243,87.248.114.12,56374,443,tcp,0.150045
23:05:40.546967,23:05:42.825227,196.42.104.243,87.248.114.11,50446,443,tcp,0.213726
23:06:41.201935,23:06:41.375291,196.42.104.243,87.248.114.11,50446,443,tcp,0.213726
23:07:40.148230,23:07:40.298148,196.42.104.243,87.248.114.11,50446,443,tcp,0.213726
23:08:33.283539,23:08:33.434077,196.42.104.243,87.248.114.11,50446,443,tcp,0.213726
