1713016805.557713000	41.169.98.17	10.30.222.137	1055988	1
1713016805.560073000	41.169.98.17	10.30.222.137	1058748	1
1713016805.571982000	71.18.46.243	10.30.222.137	70280	1
1713016805.574558000	71.18.46.243	10.30.222.137	72960	1
1713016805.574717000	71.18.46.243	10.30.222.137	74300	1
1713016805.576091000	71.18.46.243	10.30.222.137	78320	1
1713016805.576242000	71.18.46.243	10.30.222.137	85020	1
1713016805.580518000	41.169.98.17	10.30.222.137	1087728	1
1713016805.580756000	41.169.98.17	10.30.222.137	1089108	1
1713016805.583686000	41.169.98.17	10.30.222.137	1090488	1
1713016805.583788000	41.169.98.17	10.30.222.137	1091868	1
1713016805.606195000	71.18.46.243	10.30.222.137	87700	1
1713016805.606507000	71.18.46.243	10.30.222.137	48840	1
1713016805.606662000	41.169.98.17	10.30.222.137	1097388	1
1713016805.606843000	71.18.46.243	10.30.222.137	90380	1
1713016805.607089000	71.18.46.243	10.30.222.137	91720	1
1713016805.607328000	71.18.46.243	10.30.222.137	93060	1
1713016805.608063000	41.169.98.17	10.30.222.137	1100148	1
1713016805.608582000	71.18.46.243	10.30.222.137	94400	1
1713016805.608863000	71.18.46.243	10.30.222.137	95740	1
1713016805.609366000	71.18.46.243	10.30.222.137	97080	1
1713016805.609735000	71.18.46.243	10.30.222.137	98420	1
1713016805.609933000	41.169.98.17	10.30.222.137	1023702	1
1713016805.610105000	41.169.98.17	10.30.222.137	1025082	1
1713016805.610247000	71.18.46.243	10.30.222.137	102440	1
1713016805.610561000	71.18.46.243	10.30.222.137	109140	1
1713016805.620938000	41.169.98.17	10.30.222.137	1105668	1
1713016805.621361000	71.18.46.243	10.30.222.137	111820	1
1713016805.621608000	71.18.46.243	10.30.222.137	114500	1
1713016805.624857000	71.18.46.243	10.30.222.137	62240	1
1713016805.625168000	41.169.98.17	10.30.222.137	1075308	1
1713016805.625318000	71.18.46.243	10.30.222.137	68940	1
1713016805.625439000	71.18.46.243	10.30.222.137	115840	1
1713016805.625639000	71.18.46.243	10.30.222.137	118520	1
1713016805.626707000	71.18.46.243	10.30.222.137	123880	1
1713016805.631951000	41.169.98.17	10.30.222.137	1084968	1
1713016805.671894000	71.18.46.243	10.30.222.137	75640	1
